"","RK","Name","POS","GP","REC","TGTS","YDS","AVG","TD","LNG","BIG","YDS/G","FUM","LST","YAC","FD","Stat","TeamsLong"
"1",1,"Stefon Diggs","WR",16,127,166,"1,535",12.1,8,55,20,95.9,0,0,468,73,"Receiving","Buffalo Bills"
"2",2,"Travis Kelce","TE",15,105,145,"1,416",13.5,11,45,23,94.4,1,1,597,79,"Receiving","Kansas City Chiefs"
"3",3,"DeAndre Hopkins","WR",16,115,160,"1,407",12.2,6,60,17,87.9,3,2,527,75,"Receiving","Arizona Cardinals"
"4",4,"Justin Jefferson","WR",16,88,125,"1,400",15.9,7,71,23,87.5,1,0,450,58,"Receiving","Minnesota Vikings"
"5",5,"Davante Adams","WR",14,115,149,"1,374",11.9,18,56,18,98.1,1,1,592,73,"Receiving","Green Bay Packers"
"6",5,"Calvin Ridley","WR",15,90,143,"1,374",15.3,9,63,23,91.6,1,1,369,65,"Receiving","Atlanta Falcons"
"7",7,"DK Metcalf","WR",16,83,129,"1,303",15.7,10,62,17,81.4,1,1,384,63,"Receiving","Seattle Seahawks"
"8",8,"Tyreek Hill","WR",15,87,135,"1,276",14.7,15,75,20,85.1,0,0,430,57,"Receiving","Kansas City Chiefs"
"9",9,"Allen Robinson II","WR",16,102,151,"1,250",12.3,6,42,22,78.1,0,0,339,68,"Receiving","Chicago Bears"
"10",10,"Darren Waller","TE",16,107,145,"1,196",11.2,9,38,16,74.8,2,2,583,69,"Receiving","Las Vegas Raiders"
"11",11,"DJ Moore","WR",15,66,118,"1,193",18.1,4,74,19,79.5,0,0,390,53,"Receiving","Carolina Panthers"
"12",12,"Brandin Cooks","WR",15,81,119,"1,150",14.2,6,57,20,76.7,0,0,348,52,"Receiving","Houston Texans"
"13",13,"Terry McLaurin","WR",15,87,134,"1,118",12.9,4,68,17,74.5,1,1,490,51,"Receiving","Washington"
"14",14,"Amari Cooper","WR",16,92,130,"1,114",12.1,5,69,13,69.6,0,0,408,54,"Receiving","Dallas Cowboys"
"15",15,"Robby Anderson","WR",16,95,136,"1,096",11.5,3,75,16,68.5,1,1,514,49,"Receiving","Carolina Panthers"
"16",16,"A.J. Brown","WR",14,70,106,"1,075",15.4,11,73,13,76.8,2,1,422,55,"Receiving","Tennessee Titans"
"17",17,"Tyler Lockett","WR",16,100,132,"1,054",10.5,10,47,10,65.9,1,0,339,57,"Receiving","Seattle Seahawks"
"18",18,"Mike Evans","WR",16,70,109,"1,006",14.4,13,50,20,62.9,0,0,266,55,"Receiving","Tampa Bay Buccaneers"
"19",19,"Keenan Allen","WR",14,100,147,"992",9.9,8,28,10,70.9,3,2,448,61,"Receiving","Los Angeles Chargers"
"20",20,"Corey Davis","WR",14,65,92,"984",15.1,5,75,14,70.3,1,1,279,49,"Receiving","Tennessee Titans"
"21",21,"Marvin Jones Jr.","WR",16,76,115,"978",12.9,9,43,19,61.1,0,0,203,52,"Receiving","Detroit Lions"
"22",22,"Cooper Kupp","WR",15,92,124,"974",10.6,3,55,12,64.9,0,0,529,45,"Receiving","Los Angeles Rams"
"23",23,"Cole Beasley","WR",15,82,107,"967",11.8,4,35,15,64.5,0,0,354,53,"Receiving","Buffalo Bills"
"24",24,"Robert Woods","WR",16,90,129,"936",10.4,6,56,11,58.5,1,0,504,46,"Receiving","Los Angeles Rams"
"25",25,"CeeDee Lamb","WR",16,74,111,"935",12.6,5,52,18,58.4,1,1,317,46,"Receiving","Dallas Cowboys"
"26",26,"Adam Thielen","WR",15,74,108,"925",12.5,14,51,11,61.7,0,0,231,52,"Receiving","Minnesota Vikings"
"27",27,"Diontae Johnson","WR",15,88,144,"923",10.5,7,47,10,61.5,1,0,396,45,"Receiving","Pittsburgh Steelers"
"28",28,"Tee Higgins","WR",16,67,108,"908",13.6,6,67,14,56.8,1,1,304,52,"Receiving","Cincinnati Bengals"
"29",29,"Nelson Agholor","WR",16,48,82,"896",18.7,8,85,15,56,0,0,241,37,"Receiving","Las Vegas Raiders"
"30",30,"Will Fuller V","WR",11,53,75,"879",16.6,8,77,14,79.9,0,0,295,38,"Receiving","Houston Texans"
"31",31,"Chase Claypool","WR",16,62,109,"873",14.1,9,84,14,54.6,3,1,338,41,"Receiving","Pittsburgh Steelers"
"32",32,"Jerry Jeudy","WR",16,52,113,"856",16.5,3,92,14,53.5,2,0,291,39,"Receiving","Denver Broncos"
"33",33,"Curtis Samuel","WR",15,77,97,"851",11.1,3,44,12,56.7,1,0,332,39,"Receiving","Carolina Panthers"
"34",34,"Michael Gallup","WR",16,59,105,"843",14.3,5,55,11,52.7,0,0,254,44,"Receiving","Dallas Cowboys"
"35",35,"Tyler Boyd","WR",15,79,110,"841",10.6,4,72,7,56.1,1,0,363,43,"Receiving","Cincinnati Bengals"
"36",36,"Jarvis Landry","WR",15,72,101,"840",11.7,3,32,11,56,1,0,345,46,"Receiving","Cleveland Browns"
"37",36,"Chris Godwin","WR",12,65,84,"840",12.9,7,47,13,70,1,0,300,43,"Receiving","Tampa Bay Buccaneers"
"38",38,"JuJu Smith-Schuster","WR",16,97,128,"831",8.6,9,31,13,51.9,3,1,405,48,"Receiving","Pittsburgh Steelers"
"39",39,"DeVante Parker","WR",14,63,103,"793",12.6,4,31,10,56.6,1,0,178,45,"Receiving","Miami Dolphins"
"40",40,"Russell Gage","WR",16,72,110,"786",10.9,4,35,6,49.1,0,0,288,50,"Receiving","Atlanta Falcons"
"41",41,"Julio Jones","WR",9,51,68,"771",15.1,3,44,16,85.7,0,0,230,36,"Receiving","Atlanta Falcons"
"42",42,"Marquise Brown","WR",16,58,100,"769",13.3,8,70,13,48.1,0,0,270,35,"Receiving","Baltimore Ravens"
"43",43,"T.Y. Hilton","WR",15,56,93,"762",13.6,5,50,11,50.8,0,0,193,42,"Receiving","Indianapolis Colts"
"44",44,"Mike Williams","WR",15,48,85,"756",15.8,5,64,13,50.4,0,0,165,35,"Receiving","Los Angeles Chargers"
"45",44,"Alvin Kamara","RB",15,83,107,"756",9.1,5,52,9,50.4,0,0,734,35,"Receiving","New Orleans Saints"
"46",46,"Darius Slayton","WR",16,50,96,"751",15,3,41,10,46.9,1,1,164,40,"Receiving","New York Giants"
