"","Team","GP","off_pass_CMP","off_pass_ATT","off_pass_CMP_prc","off_pass_YDS","off_pass_AVG","off_pass_YDS_pr_G","off_pass_LNG","off_pass_TD","off_pass_INT","off_pass_SACK","off_pass_SYL","off_pass_RTG","off_rush_ATT","off_rush_YDS","off_rush_AVG","off_rush_YDS_pr_G","off_rush_LNG","off_rush_TD","off_rush_FUM","off_rush_LST","def_pass_CMP","def_pass_ATT","def_pass_CMP_prc","def_pass_YDS","def_pass_AVG","def_pass_YDS_pr_G","def_pass_LNG","def_pass_TD","def_pass_INT","def_pass_SACK","def_pass_SYL","def_pass_RTG","def_rush_ATT","def_rush_YDS","def_rush_AVG","def_rush_YDS_pr_G","def_rush_LNG","def_rush_TD","def_rush_FUM","def_rush_LST"
"1","Kansas City Chiefs",16,420,630,66.7,4854,7.9,303.4,75,40,7,24,151,107.3,403,1799,4.5,112.4,32,13,5,1,349,557,62.7,3779,7.1,236.2,72,29,16,32,189,89.4,433,1954,4.5,122.1,65,14,1,1
"2","Tampa Bay Buccaneers",16,410,626,65.5,4626,7.6,289.1,50,42,12,22,150,102.8,369,1519,4.1,94.9,98,16,3,1,426,617,69,3945,7,246.6,75,29,15,48,366,94.3,358,1289,3.6,80.6,62,10,5,3
"3","Buffalo Bills",16,410,596,68.8,4620,8,288.8,56,40,11,27,166,107.5,411,1723,4.2,107.7,51,16,6,5,369,573,64.4,3726,6.9,232.9,69,23,15,38,220,86.9,414,1914,4.6,119.6,33,21,5,2
"4","Houston Texans",16,383,546,70.1,4538,8.9,283.6,77,33,7,50,305,112.3,344,1466,4.3,91.6,48,10,7,4,377,541,69.7,4104,8,256.5,73,30,3,34,221,109.6,493,2564,5.2,160.3,94,24,4,3
"5","Atlanta Falcons",16,408,628,65,4363,7.4,272.7,63,27,11,41,257,93.9,409,1532,3.7,95.8,62,13,5,3,425,625,68,4697,7.9,293.6,58,34,12,29,221,101.7,380,1677,4.4,104.8,45,15,8,3
"6","Los Angeles Chargers",16,413,627,65.9,4329,7.3,270.6,72,31,10,34,219,97,466,1784,3.8,111.5,36,12,8,2,340,543,62.6,3578,6.8,223.6,54,29,12,27,137,91.4,427,1917,4.5,119.8,55,17,8,3
"7","Las Vegas Raiders",16,369,551,67,4217,8,263.6,85,28,10,28,166,100.4,457,1916,4.2,119.8,43,20,9,4,370,580,63.8,4212,7.5,263.3,92,28,10,21,129,95.3,438,2013,4.6,125.8,62,24,2,0
"8","Dallas Cowboys",16,413,639,64.6,4161,7.1,260.1,69,25,13,44,349,89.9,430,1788,4.2,111.8,42,14,7,5,328,513,63.9,3642,7.4,227.6,81,34,10,31,178,100.4,510,2541,5,158.8,69,20,9,5
"9","Green Bay Packers",16,372,526,70.7,4106,8.2,256.6,78,48,5,21,193,121.5,443,2118,4.8,132.4,77,16,4,1,346,536,64.6,3539,7.1,221.2,53,23,11,41,254,91.1,397,1805,4.5,112.8,57,16,3,2
"10","Detroit Lions",16,374,582,64.3,4104,7.6,256.5,73,27,13,42,293,93.3,367,1499,4.1,93.7,54,17,5,5,383,557,68.8,4558,8.5,284.9,75,38,7,24,195,112.4,487,2158,4.4,134.9,75,27,5,1
