"","Team","off_pass_CMP","off_pass_ATT","off_pass_CMP_prc","off_pass_AVG","off_pass_YDS_pr_G","off_pass_TD","off_pass_INT","off_pass_SACK","off_pass_RTG","off_rush_ATT","off_rush_AVG","off_rush_YDS_pr_G","off_rush_TD","off_rush_FUM","off_Turnovers","def_pass_CMP","def_pass_ATT","def_pass_CMP_prc","def_pass_AVG","def_pass_YDS_pr_G","def_pass_TD","def_pass_INT","def_pass_SACK","def_pass_RTG","def_rush_ATT","def_rush_AVG","def_rush_YDS_pr_G","def_rush_TD","def_rush_FUM","def_Turnovers"
"1","Kansas City Chiefs",26.25,39.38,66.7,7.9,303.4,2.5,0.44,1.5,107.3,25.19,4.5,112.4,0.81,0.06,0.09,21.81,34.81,62.7,7.1,236.2,1.81,1,2,89.4,27.06,4.5,122.1,0.88,0.06,0.12
"2","Tampa Bay Buccaneers",25.62,39.12,65.5,7.6,289.1,2.62,0.75,1.38,102.8,23.06,4.1,94.9,1,0.06,0.11,26.62,38.56,69,7,246.6,1.81,0.94,3,94.3,22.38,3.6,80.6,0.62,0.19,0.25
"3","Buffalo Bills",25.62,37.25,68.8,8,288.8,2.5,0.69,1.69,107.5,25.69,4.2,107.7,1,0.31,0.35,23.06,35.81,64.4,6.9,232.9,1.44,0.94,2.38,86.9,25.88,4.6,119.6,1.31,0.12,0.18
"4","Houston Texans",23.94,34.12,70.1,8.9,283.6,2.06,0.44,3.12,112.3,21.5,4.3,91.6,0.62,0.25,0.28,23.56,33.81,69.7,8,256.5,1.88,0.19,2.12,109.6,30.81,5.2,160.3,1.5,0.19,0.2
"5","Atlanta Falcons",25.5,39.25,65,7.4,272.7,1.69,0.69,2.56,93.9,25.56,3.7,95.8,0.81,0.19,0.23,26.56,39.06,68,7.9,293.6,2.12,0.75,1.81,101.7,23.75,4.4,104.8,0.94,0.19,0.24
"6","Los Angeles Chargers",25.81,39.19,65.9,7.3,270.6,1.94,0.62,2.12,97,29.12,3.8,111.5,0.75,0.12,0.16,21.25,33.94,62.6,6.8,223.6,1.81,0.75,1.69,91.4,26.69,4.5,119.8,1.06,0.19,0.24
"7","Las Vegas Raiders",23.06,34.44,67,8,263.6,1.75,0.62,1.75,100.4,28.56,4.2,119.8,1.25,0.25,0.29,23.12,36.25,63.8,7.5,263.3,1.75,0.62,1.31,95.3,27.38,4.6,125.8,1.5,0,0.04
"8","Dallas Cowboys",25.81,39.94,64.6,7.1,260.1,1.56,0.81,2.75,89.9,26.88,4.2,111.8,0.88,0.31,0.36,20.5,32.06,63.9,7.4,227.6,2.12,0.62,1.94,100.4,31.88,5,158.8,1.25,0.31,0.35
"9","Green Bay Packers",23.25,32.88,70.7,8.2,256.6,3,0.31,1.31,121.5,27.69,4.8,132.4,1,0.06,0.08,21.62,33.5,64.6,7.1,221.2,1.44,0.69,2.56,91.1,24.81,4.5,112.8,1,0.12,0.16
"10","Detroit Lions",23.38,36.38,64.3,7.6,256.5,1.69,0.81,2.62,93.3,22.94,4.1,93.7,1.06,0.31,0.36,23.94,34.81,68.8,8.5,284.9,2.38,0.44,1.5,112.4,30.44,4.4,134.9,1.69,0.06,0.09
