"","Player","Date","OPP","Result","CMP","ATT","YDS","CMP.","AVG","TD","INT","LNG","SACK","RTG","QBR","GameLink"
"2","Jameis WinstonTB","Sun 12/29","vsATL","L28-22 OT","13","24","201","54.2","8.4","2","2","37","1","75.2","51.4","http://www.espn.com/nfl/game/_/gameId/401128034"
"3","Jameis WinstonTB","Sat 12/21","vsHOU","L23-20","25","48","335","52.1","7.0","1","4","31","3","46.8","40.2","http://www.espn.com/nfl/game/_/gameId/401127901"
"4","Jameis WinstonTB","Sun 12/15","@DET","W38-17","28","42","458","66.7","10.9","4","1","51","2","124.9","74.8","http://www.espn.com/nfl/game/_/gameId/401128028"
"5","Jameis WinstonTB","Sun 12/8","vsIND","W38-35","33","45","456","73.3","10.1","4","3","61","1","107.3","80.6","http://www.espn.com/nfl/game/_/gameId/401127994"
"6","Jameis WinstonTB","Sun 12/1","@JAX","W28-11","21","33","268","63.6","8.1","0","0","32","4","89.0","75.2","http://www.espn.com/nfl/game/_/gameId/401128063"
"7","Jameis WinstonTB","Sun 11/24","@ATL","W35-22","18","28","313","64.3","11.2","3","2","71","0","108.2","89.6","http://www.espn.com/nfl/game/_/gameId/401127870"
"8","Jameis WinstonTB","Sun 11/17","vsNO","L34-17","30","51","313","58.8","6.1","2","4","48","2","57.1","51.6","http://www.espn.com/nfl/game/_/gameId/401128084"
"9","Jameis WinstonTB","Sun 11/10","vsARI","W30-27","30","48","358","62.5","7.5","1","2","49","4","74.8","30.5","http://www.espn.com/nfl/game/_/gameId/401127976"
"10","Jameis WinstonTB","Sun 11/3","@SEA","L40-34 OT","29","44","335","65.9","7.6","2","0","25","2","103.9","82.4","http://www.espn.com/nfl/game/_/gameId/401128087"
"11","Jameis WinstonTB","Sun 10/27","@TEN","L27-23","21","43","301","48.8","7.0","2","2","46","3","68.1","67.9","http://www.espn.com/nfl/game/_/gameId/401128048"
"12","Jameis WinstonTB","Sun 10/13","vsCAR","L37-26","30","54","400","55.6","7.4","1","5","37","7","46.8","9.3","http://www.espn.com/nfl/game/_/gameId/401128096"
"13","Jameis WinstonTB","Sun 10/6","@NO","L31-24","15","27","204","55.6","7.6","2","0","26","6","104.6","17.5","http://www.espn.com/nfl/game/_/gameId/401127965"
"14","Jameis WinstonTB","Sun 9/29","@LAR","W55-40","28","41","385","68.3","9.4","4","1","67","2","120.5","90.1","http://www.espn.com/nfl/game/_/gameId/401128069"
"15","Jameis WinstonTB","Sun 9/22","vsNYG","L32-31","23","37","380","62.2","10.3","3","1","55","4","112.4","46.7","http://www.espn.com/nfl/game/_/gameId/401127966"
"16","Jameis WinstonTB","Thu 9/12","@CAR","W20-14","16","25","208","64.0","8.3","1","0","41","3","103.4","67.9","http://www.espn.com/nfl/game/_/gameId/401128054"
"17","Jameis WinstonTB","Sun 9/8","vsSF","L31-17","20","36","194","55.6","5.4","1","3","28","3","45.4","10.4","http://www.espn.com/nfl/game/_/gameId/401128010"
"21","Dak PrescottDAL","Sun 12/29","vsWSH","W47-16","23","33","303","69.7","9.2","4","0","48","3","138.0","65.9","http://www.espn.com/nfl/game/_/gameId/401127980"
"31","Dak PrescottDAL","Sun 12/22","@PHI","L17-9","25","44","265","56.8","6.0","0","0","41","2","74.5","39.7","http://www.espn.com/nfl/game/_/gameId/401127938"
"41","Dak PrescottDAL","Sun 12/15","vsLAR","W44-21","15","23","212","65.2","9.2","2","0","59","0","123.8","86.8","http://www.espn.com/nfl/game/_/gameId/401128103"
"51","Dak PrescottDAL","Thu 12/5","@CHI","L31-24","27","49","334","55.1","6.8","1","0","35","2","83.2","60.6","http://www.espn.com/nfl/game/_/gameId/401127871"
"61","Dak PrescottDAL","Thu 11/28","vsBUF","L26-15","32","49","355","65.3","7.2","2","1","35","4","91.8","56.8","http://www.espn.com/nfl/game/_/gameId/401128017"
"71","Dak PrescottDAL","Sun 11/24","@NE","L13-9","19","33","212","57.6","6.4","0","1","59","0","64.2","27.8","http://www.espn.com/nfl/game/_/gameId/401127957"
"81","Dak PrescottDAL","Sun 11/17","@DET","W35-27","29","46","444","63.0","9.7","3","0","49","1","116.6","74.8","http://www.espn.com/nfl/game/_/gameId/401128052"
"91","Dak PrescottDAL","Sun 11/10","vsMIN","L28-24","28","46","397","60.9","8.6","3","1","26","1","101.4","86.3","http://www.espn.com/nfl/game/_/gameId/401128041"
"101","Dak PrescottDAL","Mon 11/4","@NYG","W37-18","22","35","257","62.9","7.3","3","1","45","0","101.7","71.3","http://www.espn.com/nfl/game/_/gameId/401128091"
"111","Dak PrescottDAL","Sun 10/20","vsPHI","W37-10","21","27","239","77.8","8.9","1","1","44","3","100.5","62.7","http://www.espn.com/nfl/game/_/gameId/401127987"
"121","Dak PrescottDAL","Sun 10/13","@NYJ","L24-22","28","40","278","70.0","7.0","0","0","23","1","89.4","76.6","http://www.espn.com/nfl/game/_/gameId/401128130"
"131","Dak PrescottDAL","Sun 10/6","vsGB","L34-24","27","44","463","61.4","10.5","2","3","53","3","83.8","35.8","http://www.espn.com/nfl/game/_/gameId/401128029"
"141","Dak PrescottDAL","Sun 9/29","@NO","L12-10","22","33","223","66.7","6.8","0","1","35","1","73.2","78.0","http://www.espn.com/nfl/game/_/gameId/401128102"
"151","Dak PrescottDAL","Sun 9/22","vsMIA","W31-6","19","32","246","59.4","7.7","2","1","37","1","91.4","83.6","http://www.espn.com/nfl/game/_/gameId/401127921"
"161","Dak PrescottDAL","Sun 9/15","@WSH","W31-21","26","30","269","86.7","9.0","3","1","51","1","123.5","94.8","http://www.espn.com/nfl/game/_/gameId/401128115"
"171","Dak PrescottDAL","Sun 9/8","vsNYG","W35-17","25","32","405","78.1","12.7","4","0","62","0","158.3","94.6","http://www.espn.com/nfl/game/_/gameId/401128007"
"22","Jared GoffLAR","Sun 12/29","vsARI","W31-24","29","45","319","64.4","7.1","3","0","37","1","107.5","63.1","http://www.espn.com/nfl/game/_/gameId/401128038"
