"","Player","Date","OPP","Result","REC","TGTS","YDS","AVG","TD","LNG","GameLink"
"2","DeAndre HopkinsARI","Thu 11/19","@SEA","L28-21","5","8","51","10.2","0","23","http://www.espn.com/nfl/game/_/gameId/401220360"
"3","DeAndre HopkinsARI","Sun 11/15","vsBUF","W32-30","7","12","127","18.1","1","43","http://www.espn.com/nfl/game/_/gameId/401220341"
"4","DeAndre HopkinsARI","Sun 11/8","vsMIA","L34-31","3","3","30","10.0","0","17","http://www.espn.com/nfl/game/_/gameId/401220342"
"5","DeAndre HopkinsARI","Sun 10/25","vsSEA","W37-34 OT","10","12","103","10.3","1","35","http://www.espn.com/nfl/game/_/gameId/401220338"
"6","DeAndre HopkinsARI","Mon 10/19","@DAL","W38-10","2","8","73","36.5","0","60","http://www.espn.com/nfl/game/_/gameId/401220245"
"7","DeAndre HopkinsARI","Sun 10/11","@NYJ","W30-10","6","7","131","21.8","1","45","http://www.espn.com/nfl/game/_/gameId/401220143"
"8","DeAndre HopkinsARI","Sun 10/4","@CAR","L31-21","7","9","41","5.9","0","13","http://www.espn.com/nfl/game/_/gameId/401220320"
"9","DeAndre HopkinsARI","Sun 9/27","vsDET","L26-23","10","12","137","13.7","0","30","http://www.espn.com/nfl/game/_/gameId/401220343"
"10","DeAndre HopkinsARI","Sun 9/20","vsWSH","W30-15","8","9","68","8.5","1","25","http://www.espn.com/nfl/game/_/gameId/401220340"
"11","DeAndre HopkinsARI","Sun 9/13","@SF","W24-20","14","16","151","10.8","0","33","http://www.espn.com/nfl/game/_/gameId/401220352"
"21","Stefon DiggsBUF","Sun 11/15","@ARI","L32-30","10","10","93","9.3","1","21","http://www.espn.com/nfl/game/_/gameId/401220341"
"31","Stefon DiggsBUF","Sun 11/8","vsSEA","W44-34","9","12","118","13.1","0","25","http://www.espn.com/nfl/game/_/gameId/401220120"
"41","Stefon DiggsBUF","Sun 11/1","vsNE","W24-21","6","9","92","15.3","0","41","http://www.espn.com/nfl/game/_/gameId/401220115"
"51","Stefon DiggsBUF","Sun 10/25","@NYJ","W18-10","6","11","48","8.0","0","12","http://www.espn.com/nfl/game/_/gameId/401220138"
"61","Stefon DiggsBUF","Mon 10/19","vsKC","L26-17","6","8","46","7.7","1","15","http://www.espn.com/nfl/game/_/gameId/401220117"
"71","Stefon DiggsBUF","Tue 10/13","@TEN","L42-16","10","16","106","10.6","0","19","http://www.espn.com/nfl/game/_/gameId/401220209"
"81","Stefon DiggsBUF","Sun 10/4","@LV","W30-23","6","7","115","19.2","0","49","http://www.espn.com/nfl/game/_/gameId/401220229"
"91","Stefon DiggsBUF","Sun 9/27","vsLAR","W35-32","4","6","49","12.3","1","23","http://www.espn.com/nfl/game/_/gameId/401220119"
"101","Stefon DiggsBUF","Sun 9/20","@MIA","W31-28","8","13","153","19.1","1","47","http://www.espn.com/nfl/game/_/gameId/401220122"
"111","Stefon DiggsBUF","Sun 9/13","vsNYJ","W27-17","8","9","86","10.8","0","22","http://www.espn.com/nfl/game/_/gameId/401220116"
"22","Travis KelceKC","Sun 11/22","@LV","W35-31","8","10","127","15.9","1","22","http://www.espn.com/nfl/game/_/gameId/401220227"
"32","Travis KelceKC","Sun 11/8","vsCAR","W33-31","10","12","159","15.9","0","44","http://www.espn.com/nfl/game/_/gameId/401220224"
"42","Travis KelceKC","Sun 11/1","vsNYJ","W35-9","8","12","109","13.6","1","25","http://www.espn.com/nfl/game/_/gameId/401220222"
"52","Travis KelceKC","Sun 10/25","@DEN","W43-16","3","3","31","10.3","0","17","http://www.espn.com/nfl/game/_/gameId/401220210"
"62","Travis KelceKC","Mon 10/19","@BUF","W26-17","5","7","65","13.0","2","20","http://www.espn.com/nfl/game/_/gameId/401220117"
"72","Travis KelceKC","Sun 10/11","vsLV","L40-32","8","12","108","13.5","1","32","http://www.espn.com/nfl/game/_/gameId/401220219"
"82","Travis KelceKC","Mon 10/5","vsNE","W26-10","3","7","70","23.3","0","45","http://www.espn.com/nfl/game/_/gameId/401220221"
"92","Travis KelceKC","Mon 9/28","@BAL","W34-20","6","7","87","14.5","0","29","http://www.espn.com/nfl/game/_/gameId/401220153"
"102","Travis KelceKC","Sun 9/20","@LAC","W23-20 OT","9","14","90","10.0","1","20","http://www.espn.com/nfl/game/_/gameId/401220235"
"112","Travis KelceKC","Thu 9/10","vsHOU","W34-20","6","6","50","8.3","1","15","http://www.espn.com/nfl/game/_/gameId/401220225"
